,text,original_label,identifier,label,column
0,"(6) In Article 51, the following paragraphs are added: ""However, the Commission may delegate its powers of budget implementation concerning the appropriations of its own section to the Heads of Union Delegations. When Heads of Union Delegations act as sub-delegated authorising officers of the Commission, they shall apply the Commission rules for the implementation of the budget and shall be submitted to the same duties, obligations and accountability as any other sub delegated authorising officer of the Commission. For the purposes of the second paragraph, the High Representative of the Union for Foreign Affairs and Security Policy shall take the measures necessary to facilitate the cooperation between Union Delegations and Commission departments.""",1,2010/0054(COD)_41,1,COM
1,The Commission (Eurostat) shall maintain and publish a system of statistical grids at Union level in the dedicated section of its website. Thestatistical grids shall conform to the specifications laid down in Commission Regulation (EU) No 1089/2010(1).,0,2016/0393(COD)_48,0,COM
2,1. This Regulation shall apply to fees for pharmacovigilance activities relating to medicinal products for human use authorised in the Union under Regulation (EC) No 726/2004 and Directive 2001/83/EC which shall be levied by the European Medicines Agency (hereinafter the Agency) on marketing authorisation holders.,1,2013/0222(COD)_25,1,COM
3,"3. Within one year from the entry into force of this Regulation, the Agency shall adopt a set of performance indicators taking into account the information listed in Part V of the Annex.",1,2013/0222(COD)_96,1,COM
4,"No corresponding proposal by the Commission 10. The European Parliament, on a recommendation from the Council acting by a qualified majority, shall, before 30 April of year N + 2, give a discharge to the Executive Director in respect of the implementation of the budget for year N.",1,2014/0256(COD)_107,1,COM
5,"No corresponding proposal by the Commission 1. The Executive Director shall be appointed by the Management Board, on a proposal from the Commission, for a period of five years on the basis of a list of candidates proposed by the Commission following a call for expressions of interest published in the Official Journal of the European Union and elsewhere. Before appointment, the candidate nominated by the Management Board shall be invited forthwith to make a statement to the European Parliament and to answer any questions put by its Members. His mandate may be renewed once. The Management Board may, upon a proposal from the Commission, remove the Executive Director from his post.",1,2014/0256(COD)_83,1,COM
6,"1. Member States shall, as far as the care and accommodation of animals is concerned, ensure the following: (a) all animals are provided with accommodation, an environment, at least some freedom of movement, food, water and care which are appropriate to their health and well-being; (b) any restrictions on the extent to which an animal can satisfy its physiological and ethological needs are limited to a minimum; (c) the environmental conditions in which animals are bred, kept or used are checked daily; (d) the well-being and state of health of animals are observed by a competent person to prevent pain or avoidable suffering, distress or lasting harm;",1,2008/0211(COD)_73,1,COM
7,Article 34 Controls of national inspections 1. The Commission may undertake controls of the infrastructure and operation of national inspections in Member States. 2. The Member State in the territory of which the control is being carried out shall give all necessary assistance to the experts of the Commission in carrying out their duties. The Commission shall inform the competent authority of the Member State concerned of the results of the control. 3. The competent authority of the Member State concerned shall take measures to take account of the results of the control.,1,2008/0211(COD)_78,1,COM
8,"(9) In addition, the Commission should be empowered to lay down science based rules of a similar kind as those laid down for rabies and providing for preventive measures for the movement of pet animals regarding other diseases that may affect those animals, where those preventive measures are proportionate to the risk of spreading those diseases due to such movement. Since those measures are of general scope and are designed to amend non-essential elements of Regulation (EC) No 998/2003, by supplementing it with new non-essential elements, they must be adopted in accordance with the regulatory procedure with scrutiny provided for in Article 5a of Council Decision 1999/468/EC of 28 June 1999 laying down procedures for the exercise of implementing powers conferred on the Commission 1 .",1,2009/0077(COD)_1,1,COM
9,"(3) In Article 5(1), the following subparagraph shall be added: 'The preventive measures referred to in point (b)(ii) may be laid down by the Commission. Those measures, designed to amend non-essential elements of this Regulation by supplementing it, shall be adopted in accordance with the regulatory procedure with scrutiny referred to in Article 24(4).'",1,2009/0077(COD)_13,1,COM
